Age,Gender,Country,Device,GameGenre,SessionCount,AverageSessionLength,SpendingSegment,InAppPurchaseAmount,FirstPurchaseDaysAfterInstall,PaymentMethod,LastPurchaseDate
49.0,1,16,0,2,9,12.83,1,11.4,28.0,0,77
15.0,1,23,1,0,11,19.39,1,6.37,18.0,3,158
23.0,1,5,0,5,9,8.87,1,15.81,30.0,0,152
31.0,1,14,0,9,12,19.56,1,13.49,9.0,3,90
37.0,0,10,0,2,10,15.23,1,10.86,15.0,6,124
38.0,0,5,0,5,16,25.97,0,150.51,28.0,5,124
20.0,0,12,0,12,9,10.98,2,608.21,24.0,3,154
34.0,0,6,1,11,15,5.06,1,19.17,30.0,4,115
38.0,1,13,0,0,10,21.82,1,11.52,1.0,6,97
46.0,1,17,1,2,18,16.36,1,7.76,19.0,5,33
29.0,1,23,1,6,18,27.15,1,13.44,12.0,3,125
31.0,1,22,0,12,10,31.1,0,11.975000000000001,16.0,3,150
30.0,0,1,0,10,11,20.97,1,6.06,28.0,4,206
24.0,1,24,0,5,12,28.71,1,5.9,27.0,1,217
21.0,1,19,1,13,12,7.62,1,13.78,20.0,4,178
35.0,1,23,0,0,10,29.72,1,6.9,1.0,0,18
37.0,0,13,1,3,13,5.39,1,6.17,11.0,4,157
45.0,1,18,0,11,11,10.66,1,11.83,16.0,6,44
14.0,0,21,1,9,10,33.44,2,3454.51,22.0,1,0
47.0,0,22,1,5,10,14.48,1,13.4,19.0,2,71
35.0,0,14,0,12,9,25.76,1,17.37,14.0,2,84
14.0,1,13,1,8,9,15.49,2,4302.61,30.0,2,97
21.0,1,4,0,14,9,13.64,2,1945.86,19.0,4,37
54.0,1,4,1,10,12,22.7,1,8.36,27.0,6,76
47.0,1,6,0,12,8,16.56,1,3.71,22.0,5,204
52.0,1,21,0,14,8,15.21,0,393.62,17.0,3,39
25.0,1,12,1,5,9,9.59,1,18.71,17.0,0,219
51.0,1,10,1,3,12,26.29,1,1.15,9.0,1,200
18.0,1,23,0,4,5,21.01,0,356.98,18.0,5,213
33.0,0,17,1,11,15,8.9,1,6.24,13.0,5,98
32.0,1,8,0,0,12,14.9,1,19.04,17.0,3,141
54.0,0,26,0,11,13,21.86,1,11.975000000000001,16.0,3,150
34.0,0,10,0,3,11,17.72,1,9.63,26.0,5,116
30.0,0,25,0,4,10,17.36,1,1.52,1.0,4,209
31.0,0,15,0,1,15,21.2,1,12.55,28.0,4,155
43.0,1,4,1,12,9,33.73,1,16.97,12.0,6,57
49.0,1,19,1,3,11,26.68,1,10.93,24.0,0,74
54.0,1,16,0,13,9,23.08,1,13.62,7.0,2,14
38.0,1,16,1,1,9,17.67,1,5.88,19.0,2,223
17.0,1,18,0,11,8,29.44,0,276.54,11.0,2,27
19.0,0,10,0,6,12,19.36,1,18.17,18.0,5,122
38.0,1,14,1,10,7,15.38,1,11.4,19.0,1,191
34.0,1,1,1,8,14,14.21,1,4.94,13.0,4,154
20.0,0,7,1,1,12,13.56,1,11.975000000000001,16.0,3,150
32.0,0,10,0,13,11,6.96,1,0.52,3.0,3,99
16.0,0,20,0,10,7,23.56,1,7.27,17.0,4,147
36.0,1,25,0,0,3,18.42,1,11.75,2.0,0,111
48.0,0,8,0,9,13,31.13,1,12.61,22.0,6,220
35.0,1,3,0,5,12,21.19,0,337.3,5.0,4,119
50.0,1,25,1,14,9,23.2,1,17.37,3.0,3,64
33.0,0,13,0,5,12,26.08,1,11.975000000000001,16.0,3,150
44.0,0,4,1,12,13,14.46,1,17.18,14.0,2,151
36.0,0,23,1,4,7,20.17,1,16.9,5.0,6,81
29.0,1,26,0,0,6,23.27,1,13.01,26.0,3,44
25.0,0,22,0,0,15,20.96,1,4.6,13.0,1,158
52.0,1,2,1,12,8,25.58,1,18.21,2.0,4,33
18.0,1,20,0,14,9,26.58,1,19.18,14.0,0,95
18.0,1,13,0,12,9,32.83,1,8.97,4.0,1,190
17.0,0,10,0,9,11,28.92,0,133.39,26.0,3,146
49.0,1,0,0,14,9,21.42,2,4964.45,11.0,2,27
40.0,0,13,1,3,13,8.23,0,429.29,28.0,1,89
26.0,1,1,1,1,12,33.21,1,19.91,21.0,2,155
50.0,1,25,0,12,4,17.31,1,12.16,17.0,0,171
47.0,1,4,0,3,12,13.71,1,3.44,0.0,0,62
44.0,1,16,1,11,8,12.87,1,1.59,28.0,2,189
13.0,1,1,1,0,14,22.34,1,15.76,14.0,0,177
33.0,1,18,0,9,11,12.12,1,4.9,29.0,3,88
24.0,0,2,1,13,6,18.87,1,17.6,8.0,5,91
29.0,0,6,0,11,16,14.39,1,11.38,23.0,5,184
52.0,1,24,0,2,10,24.81,1,0.73,2.0,5,183
38.0,0,7,1,6,13,17.4,0,180.67,23.0,0,134
26.0,1,0,0,8,11,30.63,1,7.62,2.0,5,206
50.0,0,17,1,6,16,10.29,1,14.15,2.0,0,159
42.0,0,8,0,9,6,26.73,1,17.1,25.0,5,55
20.0,1,1,0,7,9,22.2,0,171.0,7.0,2,95
19.0,1,3,0,14,4,9.55,1,7.57,24.0,1,205
31.0,0,10,1,10,17,8.56,1,1.3,1.0,3,158
30.0,1,26,0,4,11,16.27,1,19.95,18.0,3,60
18.0,1,18,0,5,6,34.42,1,11.975000000000001,16.0,3,150
21.0,1,4,0,3,12,25.93,1,10.68,2.0,3,181
37.0,2,14,1,9,9,31.6,1,2.07,25.0,5,221
33.0,0,25,1,8,12,24.44,1,11.975000000000001,16.0,3,150
33.0,1,24,0,2,11,11.48,1,17.44,12.0,3,3
28.0,1,15,0,11,9,14.12,0,321.93,0.0,3,194
33.0,1,2,1,6,9,15.1,1,9.37,11.0,2,220
39.0,1,13,0,7,14,17.34,1,1.24,8.0,3,193
51.0,1,23,1,6,11,10.41,1,7.13,27.0,4,45
51.0,1,24,0,13,12,9.58,2,2115.84,15.0,6,185
50.0,1,6,1,8,9,15.95,0,147.28,29.0,0,73
22.0,1,7,0,3,6,18.41,1,9.4,14.0,5,48
24.0,1,20,0,10,12,8.75,1,13.22,7.0,2,110
25.0,0,9,0,8,10,29.58,1,5.67,8.0,3,196
28.0,1,24,1,5,7,26.81,1,5.59,4.0,2,188
23.0,0,23,0,13,8,34.86,1,12.58,25.0,2,8
39.0,0,11,0,0,12,12.04,1,11.66,20.0,3,9
20.0,0,10,1,1,12,27.15,1,19.56,26.0,4,74
36.0,1,25,0,7,11,27.16,1,11.14,27.0,2,108
28.0,0,19,0,2,6,21.63,1,2.9,26.0,6,79
53.0,1,11,1,11,17,15.09,1,16.22,2.0,0,147
26.0,0,11,0,2,8,13.3,1,14.73,25.0,5,192
17.0,0,12,0,0,12,27.07,1,10.27,20.0,2,131
13.0,1,15,0,7,7,10.12,0,60.34,20.0,4,164
38.0,1,2,1,9,6,25.83,1,13.11,17.0,5,165
49.0,1,5,0,12,18,11.26,1,6.77,10.0,6,191
49.0,1,15,0,11,8,22.75,1,12.28,27.0,4,174
29.0,0,10,0,5,8,29.78,1,12.59,1.0,2,93
33.0,1,18,0,13,7,21.41,1,7.33,19.0,0,12
27.0,1,20,1,4,8,20.36,1,15.85,12.0,5,220
26.0,1,20,0,0,8,28.72,1,19.13,0.0,4,25
24.0,0,25,1,10,9,30.91,1,4.91,19.0,0,18
22.0,0,3,1,3,13,16.29,0,312.71,2.0,5,195
44.0,0,19,1,7,7,17.22,1,15.49,2.0,1,107
24.0,0,1,0,12,12,28.59,1,10.65,22.0,1,53
52.0,1,14,1,7,13,12.44,1,11.975000000000001,16.0,3,150
20.0,1,0,0,5,10,17.25,1,13.65,30.0,3,218
40.0,1,16,1,2,15,29.0,2,3256.73,28.0,5,84
19.0,1,5,1,4,10,13.37,1,0.31,21.0,0,163
37.0,1,12,0,14,9,8.16,1,11.975000000000001,16.0,3,150
36.0,1,7,0,6,6,8.03,0,479.61,15.0,3,224
51.0,1,9,1,11,6,6.48,1,12.48,19.0,0,171
26.0,0,12,0,1,16,18.02,1,19.06,24.0,2,119
34.0,1,20,0,8,11,23.75,1,9.64,4.0,1,58
25.0,0,26,0,8,9,22.35,1,11.975000000000001,16.0,3,150
27.0,1,2,1,12,7,24.89,0,237.35,25.0,5,205
40.0,0,22,1,5,10,25.38,0,11.975000000000001,16.0,3,150
42.0,1,5,0,4,6,27.59,1,1.74,24.0,0,205
50.0,1,8,1,7,13,13.64,1,6.44,12.0,5,157
43.0,1,21,0,2,15,20.58,0,165.58,19.0,4,169
26.0,1,10,0,10,7,32.16,1,6.95,29.0,4,113
36.0,1,10,0,1,16,9.31,0,310.59,1.0,3,124
36.0,1,10,0,8,13,33.31,1,6.01,0.0,3,99
52.0,1,20,1,12,6,27.62,1,5.85,20.0,3,51
43.0,1,14,1,9,8,22.52,1,11.975000000000001,16.0,3,150
13.0,0,19,1,8,12,28.12,1,15.72,23.0,3,199
18.0,0,2,0,12,8,13.37,1,3.29,12.0,5,213
53.0,0,20,0,1,7,17.68,1,8.95,14.0,1,3
46.0,0,10,0,7,6,27.58,1,9.28,22.0,5,48
23.0,0,14,1,7,14,8.36,1,13.2,9.0,2,47
41.0,1,14,0,3,8,27.81,0,214.51,16.0,1,118
14.0,1,4,0,11,11,15.93,1,3.73,10.0,3,161
18.0,0,11,0,10,9,34.04,1,10.51,17.0,3,122
18.0,0,5,0,9,8,12.92,0,349.69,9.0,6,7
33.0,1,26,0,0,11,33.76,0,160.94,12.0,4,65
14.0,0,19,0,6,11,24.13,1,2.76,20.0,3,14
25.0,1,14,0,4,8,24.6,1,6.13,9.0,4,12
22.0,1,4,1,11,9,30.57,1,0.68,21.0,1,17
44.0,1,5,0,9,7,21.22,1,9.25,24.0,1,36
52.0,1,6,0,1,6,24.36,1,1.36,1.0,6,74
35.0,0,13,1,4,11,11.77,1,17.63,12.0,1,14
15.0,0,0,1,10,10,22.29,1,14.41,0.0,1,135
13.0,1,1,0,4,9,17.19,1,3.18,8.0,2,160
29.0,0,20,1,2,6,7.68,1,6.5,26.0,2,171
48.0,1,9,1,5,7,32.68,1,6.46,29.0,1,173
32.0,1,24,0,7,10,13.16,0,274.78,23.0,4,153
14.0,1,23,0,14,7,33.74,1,10.74,7.0,0,54
27.0,1,12,1,5,8,22.32,1,6.48,28.0,4,77
20.0,1,3,0,11,14,27.41,1,12.55,16.0,3,169
53.0,1,4,0,14,9,23.95,0,210.83,8.0,2,217
22.0,0,10,1,14,13,22.91,1,0.63,1.0,2,44
16.0,1,10,1,0,13,21.45,0,109.49,1.0,1,47
28.0,0,24,1,8,11,31.93,1,1.67,29.0,2,22
16.0,1,26,0,13,3,16.11,1,1.88,10.0,6,150
43.0,0,19,0,13,7,10.35,1,14.18,0.0,5,29
29.0,0,7,0,13,9,6.97,1,15.75,13.0,5,89
43.0,1,10,0,11,8,6.68,1,15.24,18.0,1,146
33.0,0,3,0,14,7,28.03,1,19.82,23.0,6,217
35.0,1,13,1,6,10,15.45,1,8.21,23.0,0,103
24.0,1,22,0,7,5,25.91,1,12.45,13.0,5,220
23.0,1,1,0,13,5,16.21,1,15.26,18.0,4,208
13.0,1,10,0,5,11,20.89,1,14.42,1.0,3,114
19.0,1,15,0,13,7,14.96,1,11.13,26.0,3,11
32.0,0,24,1,11,9,26.79,1,15.55,27.0,5,151
30.0,1,0,0,1,13,29.37,0,267.46,21.0,1,87
37.0,1,20,0,14,13,8.18,1,11.55,2.0,3,173
51.0,1,25,1,1,6,22.29,1,10.82,23.0,6,213
33.0,1,10,0,4,8,5.16,1,6.22,24.0,3,120
39.0,1,2,0,1,9,34.95,0,59.62,10.0,4,125
45.0,1,18,0,14,12,11.87,1,10.98,19.0,2,185
45.0,1,10,1,10,6,31.83,1,2.13,26.0,5,13
40.0,1,2,1,8,16,10.87,1,12.89,12.0,1,207
51.0,0,19,0,11,9,25.16,1,1.96,16.0,2,55
27.0,0,19,1,9,7,10.49,0,146.67,29.0,4,23
52.0,1,12,1,0,12,18.78,1,7.42,3.0,4,150
17.0,1,11,1,3,10,9.43,1,18.58,2.0,0,71
30.0,1,14,1,7,9,33.16,1,17.12,1.0,6,117
53.0,0,1,0,11,14,8.09,1,0.81,29.0,3,215
36.0,1,19,1,11,19,9.65,1,11.46,23.0,2,45
46.0,1,22,1,0,7,17.78,1,12.19,25.0,3,119
33.0,1,0,1,1,15,34.45,0,11.975000000000001,16.0,3,150
14.0,0,6,0,11,11,30.2,1,19.93,9.0,0,67
49.0,0,10,1,3,10,14.29,1,2.22,21.0,2,37
41.0,1,12,0,14,12,28.24,1,4.97,11.0,1,27
35.0,1,19,0,5,6,26.24,1,11.975000000000001,16.0,3,150
33.0,1,10,1,5,7,18.54,1,8.26,24.0,6,50
49.0,0,2,1,2,8,25.91,0,41.02,7.0,5,40
35.0,1,12,0,14,9,17.62,1,11.86,15.0,6,118
29.0,1,16,0,12,11,11.64,1,9.16,24.0,6,161
42.0,1,7,0,10,6,7.7,1,4.72,29.0,4,90
52.0,1,8,1,8,6,18.54,1,17.73,20.0,0,37
15.0,1,15,0,3,14,16.71,1,6.79,28.0,1,82
14.0,1,3,1,2,14,18.16,1,5.19,24.0,5,173
19.0,1,16,1,10,7,31.73,1,14.61,5.0,4,73
31.0,0,21,1,10,12,12.45,1,17.58,19.0,4,148
30.0,1,21,0,7,11,9.49,1,8.58,28.0,3,169
18.0,1,3,0,8,10,33.84,1,1.95,3.0,2,105
42.0,1,20,0,2,7,26.84,1,10.53,28.0,5,124
14.0,1,9,0,2,5,13.84,1,12.8,20.0,3,151
43.0,0,12,0,4,10,21.61,0,85.11,16.0,0,213
49.0,1,21,0,9,7,19.62,0,237.1,24.0,3,217
52.0,1,0,1,1,15,12.32,1,5.05,20.0,6,177
30.0,0,15,1,12,7,11.63,1,13.31,26.0,0,29
31.0,0,14,0,1,17,33.15,1,0.92,1.0,4,84
21.0,0,12,0,7,16,33.46,1,15.05,22.0,0,88
47.0,1,21,0,0,11,10.94,1,5.86,0.0,4,150
16.0,1,19,0,4,6,23.51,1,1.41,12.0,2,103
41.0,0,14,0,12,18,18.75,1,10.55,16.0,0,147
45.0,0,18,0,10,12,16.57,0,259.56,28.0,3,79
22.0,1,14,0,10,11,15.26,1,12.3,13.0,5,19
19.0,1,9,1,9,5,8.84,1,8.86,20.0,6,134
37.0,0,21,1,8,8,32.96,1,8.42,13.0,2,214
32.0,1,2,0,0,9,14.24,0,474.75,3.0,2,36
17.0,0,13,0,7,9,27.22,1,9.19,22.0,0,30
20.0,1,16,1,12,11,8.02,1,4.04,4.0,4,106
40.0,0,14,1,4,12,20.12,1,0.34,8.0,4,61
51.0,1,19,1,0,12,27.57,1,9.97,26.0,6,15
20.0,0,11,0,7,14,33.69,1,4.69,20.0,5,21
29.0,0,16,0,7,14,6.02,1,14.31,1.0,2,169
20.0,0,0,0,4,13,33.91,1,16.03,28.0,2,108
13.0,1,26,0,1,10,5.28,1,18.73,12.0,5,42
30.0,0,21,1,0,11,16.94,1,18.7,11.0,6,90
38.0,0,1,1,14,12,27.21,1,19.03,19.0,5,197
43.0,0,2,1,14,9,7.0,1,14.48,18.0,6,95
14.0,0,10,1,2,13,26.11,0,487.96,13.0,4,86
25.0,1,15,0,6,9,21.3,1,8.92,22.0,2,34
26.0,0,9,0,2,11,23.47,0,429.7,22.0,5,126
47.0,0,11,1,1,8,13.11,1,12.66,7.0,3,8
25.0,0,24,0,11,8,31.53,1,14.07,25.0,1,185
15.0,0,20,0,3,10,20.85,1,19.66,11.0,1,188
14.0,1,13,0,6,6,10.5,1,5.24,2.0,4,35
17.0,0,16,0,5,10,27.43,1,7.8,6.0,4,21
40.0,1,19,0,6,11,8.81,1,4.94,20.0,0,150
16.0,1,20,1,6,13,18.16,1,13.34,26.0,2,196
18.0,1,6,1,7,10,13.4,1,5.15,5.0,2,133
36.0,1,11,0,2,11,23.65,1,9.23,12.0,3,6
46.0,0,26,1,0,11,14.23,1,5.94,11.0,3,51
39.0,0,14,0,11,12,31.87,1,13.92,25.0,6,31
13.0,1,10,1,3,9,8.53,1,14.93,2.0,6,132
19.0,0,7,0,8,11,16.72,1,18.78,12.0,0,176
43.0,1,1,1,1,13,13.92,0,370.64,30.0,1,106
29.0,1,13,0,9,12,29.32,1,19.42,14.0,1,143
51.0,1,3,1,3,15,18.8,1,13.63,25.0,5,180
21.0,1,7,1,3,12,31.4,1,11.07,9.0,1,195
19.0,1,19,1,12,10,12.09,1,12.58,22.0,5,184
21.0,0,21,1,9,11,12.3,0,345.49,3.0,2,125
49.0,0,1,1,12,9,25.41,1,11.975000000000001,16.0,3,150
40.0,1,4,1,9,13,34.34,0,444.15,5.0,3,158
19.0,0,19,1,11,5,13.2,1,3.96,3.0,2,141
19.0,1,22,0,5,9,27.4,0,297.65,24.0,6,123
21.0,0,4,0,6,9,22.93,1,7.38,18.0,5,174
34.0,1,25,0,4,15,6.64,1,2.19,20.0,0,128
28.0,1,15,0,12,12,22.27,1,16.42,22.0,5,194
47.0,0,24,1,8,15,14.36,1,13.7,28.0,4,24
36.0,0,26,0,8,16,29.26,1,13.59,15.0,5,221
42.0,1,0,0,4,14,33.86,1,7.98,6.0,4,168
22.0,1,9,1,4,11,16.79,1,12.92,14.0,6,8
24.0,1,14,0,7,12,28.49,1,4.82,24.0,5,151
18.0,1,25,1,14,19,17.38,2,726.24,6.0,5,105
52.0,1,17,1,12,9,16.1,1,18.12,12.0,1,35
13.0,1,21,0,3,15,16.9,1,12.32,8.0,2,54
45.0,1,26,1,13,9,22.71,1,18.51,4.0,0,206
49.0,0,25,1,4,11,9.52,0,490.8,25.0,1,109
30.0,1,9,0,8,7,24.7,0,268.4,3.0,4,6
42.0,0,16,0,1,13,19.59,1,1.57,6.0,5,129
20.0,0,10,1,1,13,12.63,1,8.07,15.0,2,66
33.0,0,14,1,6,11,25.8,1,13.18,2.0,1,68
25.0,2,23,1,13,8,34.17,1,10.89,9.0,2,102
21.0,1,6,1,4,8,31.76,1,12.86,9.0,6,20
33.0,0,14,0,4,9,7.45,0,262.11,3.0,1,12
49.0,1,24,0,6,5,19.85,1,0.62,5.0,0,37
29.0,2,6,0,5,9,25.21,1,19.34,20.0,1,86
22.0,0,26,0,2,8,27.75,1,11.975000000000001,16.0,3,150
20.0,1,17,0,13,12,20.85,1,15.9,23.0,5,124
32.0,1,6,1,4,9,33.58,0,355.73,5.0,3,57
27.0,1,22,0,12,13,14.3,0,52.99,15.0,1,193
21.0,1,14,0,4,7,9.11,1,12.83,12.0,0,154
48.0,1,2,0,6,17,8.33,1,13.53,14.0,0,183
46.0,1,13,0,1,11,13.84,1,4.42,11.0,4,22
26.0,0,15,1,7,13,7.31,1,11.72,12.0,5,223
51.0,1,22,0,11,11,26.76,1,11.975000000000001,16.0,3,150
26.0,1,6,0,11,7,25.18,1,6.58,13.0,4,36
29.0,1,13,1,2,10,12.09,1,12.28,11.0,4,104
20.0,1,23,0,10,13,10.0,1,1.48,29.0,6,99
13.0,0,23,0,13,13,33.64,1,5.6,30.0,6,44
24.0,1,4,0,4,5,26.16,0,67.13,26.0,4,187
14.0,0,25,1,13,11,27.27,1,9.73,4.0,6,96
48.0,0,3,0,3,11,12.78,1,11.975000000000001,16.0,3,150
16.0,0,20,1,7,7,16.86,1,19.33,21.0,4,128
52.0,1,23,0,11,17,20.29,1,2.73,3.0,1,221
19.0,1,12,0,4,13,34.0,1,8.5,7.0,1,25
40.0,1,16,0,12,16,32.86,1,6.15,22.0,3,82
37.0,0,18,1,10,13,32.23,1,16.13,30.0,6,65
29.0,0,1,0,13,11,31.06,1,9.23,20.0,1,154
23.0,0,8,1,13,7,7.51,1,7.41,12.0,2,16
16.0,1,4,1,6,10,22.65,0,87.54,23.0,1,205
43.0,1,9,0,11,9,30.18,1,14.66,11.0,6,40
17.0,1,23,1,7,8,5.1,1,0.42,3.0,0,65
49.0,0,10,1,8,6,25.98,1,11.3,21.0,5,108
49.0,1,26,0,9,10,15.99,1,1.81,20.0,4,205
17.0,0,1,0,4,2,31.24,1,15.88,10.0,4,161
19.0,0,20,0,1,10,24.58,1,11.38,29.0,0,164
